user_name,viewer_id,team_level,total_power,arena_group,arena_rank,grand_arena_group,grand_arena_rank,clan_name
幸存者 i 如你,1005795704365,127,1041609,10,33,4,16,莱茵骑士团（赌你的头
辣辣米拉跨的一天,1015195205153,127,1037623,7,266,9,208,莱茵骑士团（赌你的头
希腊奶,1018116881969,127,931491,7,33,7,9,莱茵骑士团（赌你的头
优酱,1043983941176,127,1057348,8,20,8,37,
红茶（狗头赌没了）,1049189521972,127,1075542,7,34,6,44,莱茵骑士团（赌你的头
天地银行总裁,1059608952318,127,859582,6,280,13,388,莱茵骑士团（赌你的头
分身乏术猪扒仔,1114864376381,127,1138121,6,134,1,172,
白音,1115801541116,127,1076951,7,48,1,88,
尧丶已下防,1132524715597,127,849876,15,176,17,285,
悠悠丶＊,1156006673940,127,1036963,2,34,10,8,兰德索尔大农场
保温箱,1170175531576,127,1079500,15,2,4,49,莱茵骑士团（赌你的头
hego亲X,1193285189140,127,1075017,4,2,16,3,莱茵骑士团（赌你的头
千圣^,1212992273996,127,916893,12,780,1,645,莱茵骑士团（赌你的头
猫薄荷^挖矿速加群,1262702993967,127,1032247,11,2,17,2,莱茵骑士团（赌你的头
初心,1263231736356,127,1050694,3,29,1,34,莱茵骑士团（赌你的头
风花雪月七七七^,1270777822784,127,1105053,12,3,5,160,莱茵骑士团（赌你的头
可爱又迷人的反派角色,1274947934702,127,898859,19,694,3,679,莱茵骑士团（赌你的头
有只小莫君,1297362065944,127,1073541,18,1,5,51,Kreator
佳爱琉,1306405624383,127,881153,5,119,1,300,莱茵骑士团（赌你的头
坚决要求蓝毛打C1！,1322690936327,127,942884,1,207,8,120,莱茵骑士团（赌你的头
苏九儿^,1328942251517,127,950589,8,128,6,161,莱茵骑士团（赌你的头
风圆,1350224222766,127,1140216,6,109,1,224,莱茵骑士团（赌你的头
图农,1352348869112,127,998542,9,42,13,55,还是种田适合老夫
美琴,1353043115551,127,934769,9,48,5,19,莱茵骑士团（赌你的头
周大仙,1384366865937,127,1135484,15,31,6,18,莱茵骑士团（赌你的头
港記,1395044728348,127,1030209,1,24,3,26,莱茵骑士团（赌你的头
shino,1395503480346,127,1122663,14,27,17,7,莱茵骑士团（赌你的头
仓鼠抱抱（已下防）,1396658142737,127,1058996,14,67,10,87,莱茵骑士团（赌你的头
全控,1413579563593,127,1252914,20,4,17,54,
出口转内销千岛酱,1416683051536,127,1161366,8,150,5,144,
arisa（挖矿点我,1103859269183,127,1153115,19,31,16,18,牧野行歌
天天座理世,1205168939546,127,689695,9,147,15,58,格雷姆林魔法结社
嘤^嘤^嘤,1218346155523,127,913200,11,18,16,25,
青山翠,1244136235545,127,698812,7,140,15,79,游戏宅
桐间纱路,1257178309127,127,706689,14,139,15,53,格雷姆林魔法结社
宇治松千夜,1262611243590,127,711775,6,102,15,107,python培训班
轮回 X,1082737835598,127,1071361,4,17,15,3,观潮阁摆烂保150
OverloadFH,1019731909175,127,955255,4,18,1,18,休闲养老没烦恼
千石 水爆不井 X,1328223787549,127,870754,4,13,2,84,梦与魔法的乐园
大鸟转转小火龙x,1014085598759,127,1140870,4,3,2,2,装兔子的冰箱
绫夜YouSa X,1185980382739,127,1033366,4,59,2,75,泡泡茶壶
锁X,1336827870726,127,823025,4,16,12,18,爱酱保护协会
皇帝X,1003784158728,127,956380,4,1,4,27,幻想乡
洛X已下防,1374631928319,127,827410,4,37,15,48,天园
LE-NEGAR X,1151080440300,127,968112,4,9,12,16,python培训班
Bo良ki影有缘再见,1227814878755,127,827719,4,11,12,20,棍之勇者
阿尔托莉亚,1196713541196,127,1117117,4,34,5,41,
八云蓝 X,1001279045119,127,1302763,4,52,3,2,28.1个人的月下莲
威廉.卡特x,1008275397118,127,910677,4,24,4,513,纳萨力克大坟墓
天井 X ,1056425925165,127,1001599,4,5,5,7,翻面的咸鱼
咸鱼^X,1296259448378,127,1108877,4,8,6,2,会长急救中心
意外之外x,1249215659542,127,1165538,4,46,3,85,未闻掉刀摆烂坎公招人
兔兔灬一粒 X,1192995166772,127,1100630,4,6,1,67,灬欧洲兔兔连萌灬
初音-桔梗X,1429413854767,127,861459,4,22,13,15,会长急救中心
欧拉欧拉-FH,1109135301101,127,990941,4,19,1,6,复活社
渚,1423843704309,127,812360,17,39,16,32,羊驼臻爱
斯科特_群简丶,1328836190781,127,1043130,17,4,15,18,柠檬殿堂今天又掉一刀
斯科特 ^ ,1229855941130,127,967168,11,13,16,31,莱的父亲们
环奈.在裙丶,1362363998769,127,940810,17,7,16,26,屑里屑气
脸红的泡泡茶壶,1230191403522,127,764120,14,50,16,22,放学后茶会
翼海风,1236187537908,127,975914,20,27,16,21,幻想乡
白天做梦,1271446315599,127,1002992,10,47,16,19,红魔馆
梦忆樱,1413012241974,127,882080,9,15,16,17,星月晓颜
七月焰雨,1258922795529,127,911640,9,21,16,11,仙凌
放课后少年,1422755832396,127,1025580,10,95,16,9,放学后茶会
Tony,1163718238723,127,1170664,1,8,16,5,墨丘利财团会计部
谁COS的XCW,1120901931573,127,822356,20,11,16,8,佛系
亚丝娜,1062364766705,127,831674,8,3,16,10,佛系
