user_name,viewer_id,team_level,total_power,arena_group,arena_rank,grand_arena_group,grand_arena_rank,clan_name
睡宝,1011597688361,127,941968,1,208,0,0,星月晓颜
伊蕾娜,1043672209984,127,911748,1,171,10,10970,
小麻 ,1057846443568,127,773169,18,104,0,0,同萌纯爱战士协会up
星辰,1086948113953,127,1006912,17,121,0,0,魔灵学院
君丶佑（简）,1094494968375,127,1081611,7,147,0,0,同萌纯爱战士协会up
影子(简介)^,1102545272391,127,1145329,11,594,0,0,未闻掉刀摆烂坎公招人
零氪,1110225681972,127,979984,4,23,0,0,心理疾病医院
    裴  下防,1118919441968,127,1119281,13,10,0,0,会长急救中心
叶氏（咸鱼）,1163272568304,127,1250990,7,50,0,0,洗浴中心
大仙是神,1167664299550,127,843921,5,702,0,0,QAQ莱的父亲们
饭饭*,1170745694745,127,1108820,2,14,3,15001,饿啊 我的超人！！
key（能挖就挖）,1176109022714,127,886136,1,5,0,0,圣骑士团
纯吾（影分身）,1177452101121,127,1008708,19,151,0,0,QAQ莱的父亲们
齐齐是可怜的吃井人i,1185108344316,127,971448,10,14,0,0,灬欧洲兔兔连萌灬
全彩(总有儍叉爱击剑,1227312299598,127,953822,11,48,0,0,圣威院
魷魚絲（挖矿求放过）,1242267205185,127,1005044,6,28,0,0,QAQ莱的父亲们
那位（夜月）,1247482616359,127,988582,17,151,0,0,圣衡骑士团
伶梦,1256735480367,127,927808,11,124,0,0,28.1个人的月下莲
西柳X,1259530206749,127,1005468,4,89,0,0,月球炼铜乐团
学徒^,1274070161959,127,942358,15,109,0,0,未闻掉刀摆烂坎公招人
无语,1281803409998,124,853705,8,691,0,0,
芜湖老妖怪,1281988984395,127,950558,15,67,0,0,东方幻想乡
千千酱,1291163614779,127,1034128,17,69,0,0,
星辰酱i(简介),1296447864365,127,842346,5,439,0,0,QAQ茶会
lzc^,1306687429191,127,976788,12,6,1,9350,魔灵学院
出号看简介,1340871851506,127,861179,17,28,0,0,星月晓颜
潇洒,1346178219555,127,944518,9,51,0,0,彼岸花曼珠沙华
梦中呓（已下防,1360984005140,127,1039558,6,52,0,0,QAQ品红色的照相馆
Ver`吕玲绮＊,1399394680340,127,948131,2,3,2,12751,QAQ莱的父亲们
YuKiKaZe,1405385464328,127,1130287,4,161,0,0,QAQ枫叶鱼塘
