user_name,viewer_id,team_level,total_power,arena_group,arena_rank,grand_arena_group,grand_arena_rank,clan_name
幸存者 i 如你A,1005795704365,127,1044773,10,34,3,52,莱茵骑士团
辣辣米拉跨的一天,1015195205153,127,1040499,7,234,10,4252,莱茵骑士团
希腊奶,1018116881969,127,954563,7,27,5,15,莱茵骑士团
优酱,1043983941176,127,1059403,8,9,1,71,优酱的窝
红茶,1049189521972,127,1081291,7,48,9,62,莱茵骑士团
天地银行总裁,1059608952318,127,861271,6,280,6,9286,莱茵骑士团
猪扒哥（挖矿中）,1114864376381,127,1144216,6,78,8,299,优酱的窝
白音,1115801541116,127,1105327,7,28,5,99,莱茵骑士团食堂
尧^挖矿中,1132524715597,127,849998,15,197,4,6792,
悠悠＊^,1156006673940,127,1053078,2,14,4,90,兰德索尔大农场
烤箱 t,1170175531576,127,1118336,15,35,8,51,莱茵骑士团食堂
hego亲Xt,1193285189140,127,1077544,4,3,8,4,无所属
千圣^,1212992273996,127,917015,12,595,7,3657,莱茵骑士团
猫薄荷^欢迎新人,1262702993967,127,1033878,11,1,4,15,莱茵骑士团食堂
初心,1263231736356,127,1053478,3,19,9,278,莱茵骑士团
风花雪月七七七^,1270777822784,127,1113202,12,10,10,39,御家农场
可爱又迷人的反派角色,1274947934702,127,898859,19,694,10,15001,莱茵骑士团
有只小莫君,1297362065944,127,1088176,18,22,5,66,Kreator
佳爱琉（挖矿）,1306405624383,127,886457,5,157,2,3022,莱茵骑士团
坚决要求蓝毛打C1！,1322690936327,127,943266,1,195,10,12801,莱茵骑士团
苏九儿,1328942251517,127,972692,8,114,1,112,莱茵骑士团
风华/未挖完/但算了,1350224222766,127,1143490,6,69,9,78,莱茵骑士团
图农,1352348869112,127,1001001,9,109,2,5899,还是种田适合老夫
美琴,1353043115551,127,935928,9,84,6,148,莱茵骑士团
周大仙,1384366865937,127,1155139,15,10,1,64,莱茵骑士团
港記,1395044728348,127,1055233,1,22,10,25,莱茵骑士团
shino A,1395503480346,127,1131853,14,33,3,25,莱茵骑士团
仓鼠抱抱,1396658142737,127,1065678,14,51,2,279,莱茵骑士团
全控i,1413579563593,127,1289569,20,14,2,13,farming114
千岛酱挖完睡觉,1416683051536,127,1171781,8,138,6,60,莱茵骑士团食堂
arisa超可爱,1103859269183,127,1155871,19,30,10,31,无所属
天天座理世,1205168939546,127,689695,9,152,5,9319,无所属
嘤^嘤^嘤,1218346155523,127,917163,11,16,6,32,无所属
青山翠,1244136235545,127,701990,7,144,5,9276,无所属
桐间纱路,1257178309127,127,708453,14,156,10,9300,无所属
宇治松千夜,1262611243590,127,712964,6,95,7,8092,无所属
轮回 X  加群看简,1082737835598,127,1072679,4,6,6,11,轮回棋盘
Overload^,1019731909175,127,957233,4,19,4,12,休闲养老没烦恼
千石 水爆不井X乄,1328223787549,127,891828,4,7,9,69,梦与魔法的乐园
大鸟转转小火龙x,1014085598759,127,1142308,4,4,10,74,装兔子的冰箱
绫夜YouSa X,1185980382739,127,1053150,4,74,7,45,泡泡茶壶
紫翼-声锁 Xi,1336827870726,127,825956,4,5,2,3053,全 员 内 鬼
皇帝X,1003784158728,127,959483,4,20,2,124,幻想乡
洛X,1374631928319,127,833339,4,85,8,3587,天园
LENEGAR ^x,1151080440300,127,987678,4,11,4,8,python培训班
Bo良ki影x,1227814878755,127,848601,4,70,10,89,棍之勇者
阿尔托莉亚,1196713541196,127,1120258,4,18,4,56,夜雪的养猪厂
八云蓝 Xi,1001279045119,127,1322378,4,28,2,5,康康农场
威廉.卡特x,1008275397118,127,919813,4,45,5,116,纳萨力克大坟墓
天井 X 乄,1056425925165,127,1002374,4,2,9,10,翻面的咸鱼
咸鱼X群简,1296259448378,127,1117696,4,10,1,5,心扉农场
意外之外i 没挖完,1249215659542,127,1167347,4,31,2,44,未闻掉刀摆烂坎公招人
兔兔灬一粒 X A,1192995166772,127,1103942,4,41,3,62,灬欧洲兔兔连萌灬
初音-桔梗（未挖完）,1429413854767,127,862868,4,13,2,40,会长急救中心
欧A,1109135301101,127,994668,4,36,3,44,复活社
渚,1423843704309,127,814893,17,16,7,15,羊驼臻爱
斯科特A挖完了,1328836190781,127,1052910,17,8,3,10,柠檬殿堂招优质活人
斯科特 ^ 在挖,1229855941130,127,968806,11,7,7,647,睡饱饱的观星所
环奈.在裙A丶,1362363998769,127,944322,17,32,3,11,屑里屑气
脸红的泡泡茶壶^,1230191403522,127,772437,14,29,4,29,咸鱼湾
翼海风 t,1236187537908,127,977243,20,43,8,9,幻想乡
白天做梦,1271446315599,127,1011263,10,52,6,206,红魔馆
梦忆樱（团）,1413012241974,127,887267,9,8,8,45,星月晓颜
七月焰雨,1258922795529,127,911687,9,40,2,7892,仙凌
放课后少年,1422755832396,127,1028499,10,60,2,81,放学后茶会
Tony挖矿中,1163718238723,127,1184202,1,11,9,94,墨丘利财团会计部
谁COS的XCW,1120901931573,127,824303,20,49,8,135,佛系
佑树,1062364766705,127,833621,8,68,10,109,
