rank,clan_name,leader_name,damage_avg_day1,damage_avg_day2,damage_avg_day3,damage_avg_day4
1,"""同萌滑刀协会up""","""蓝蓝蓝^ 乄""",431.75w,395.3w,415.46w,407.28w
2,"""快出刀，没时间了""","""海豹眷属绾绾""",401.04w,394.08w,424.58w,396.23w
3,"""天枢保20找合会""","""安""",414.67w,381.19w,419.86w,390.49w
4,"""QAQ未闻花名""","""最帅最欧""",424.38w,384.62w,407.87w,383.53w
5,"""一人我掉三刀""","""苏月曦^""",421.64w,375.21w,422.65w,385.79w
6,"""装兔子的冰箱""","""泠泠A""",415.36w,382.76w,413.75w,386.19w
7,"""咸鱼湾""","""川澄舞""",418.64w,373.9w,416.13w,384.95w
8,"""希望之花""","""麦克吉利斯""",414.49w,370.95w,417.29w,392.2w
9,"""苏狗你行不行啊""","""红茶""",415.06w,373.32w,413.75w,392.46w
10,"""休闲养老没烦恼""","""快看彩虹""",411.24w,372.18w,416.27w,383.56w
11,"""月下莲""","""老羊驼克克^""",414.7w,366.32w,414.03w,382.84w
12,"""寻梦""","""我是骗子王""",418.85w,371.21w,404.01w,384.1w
13,"""魔域学院""","""兲空＊""",406.15w,371.56w,413.52w,382.76w
14,"""猫猫连结""","""流炫（招人看简介）""",396.36w,377.35w,412.22w,384.95w
15,"""QAQ品红色的照相馆""","""decade""",407.48w,365.3w,403.87w,388.34w
16,"""灬欧洲兔兔连萌灬""","""兔兔灬狐狸贴贴""",400.09w,362.75w,407.84w,372.83w
17,"""观潮阁""","""贤狼赫萝""",398.38w,365.94w,397.85w,379.43w
18,"""梦与魔法的乐园""","""梦天真""",396.95w,345.97w,400.09w,389.5w
19,"""星月晓颜""","""光月紫""",389.0w,356.9w,392.34w,386.08w
20,"""宫商角徵羽""","""绫濑夕映""",398.96w,363.15w,389.44w,372.22w
21,"""QAQ司姬协会""","""芈夜""",391.84w,355.57w,384.56w,374.43w
22,"""QAQ萌国联邦""","""~利姆露~i 乄""",386.64w,347.87w,391.67w,365.24w
23,"""摸鱼君悦摸鱼""","""缘氵浅唱灬四叶""",381.98w,360.21w,370.73w,377.06w
24,"""爱酱保护协会""","""珈百璃""",384.29w,352.66w,383.58w,360.35w
25,"""柚子厨交流协会""","""诺诺""",384.44w,337.11w,401.9w,358.96w
26,"""QAQ摆烂鱼塘""","""伊蕾娜小恶魔（团）""",382.43w,342.82w,393.21w,362.75w
27,"""咕噜灵波~转一圈？""","""陌鸢于泠*""",377.96w,341.07w,396.6w,361.74w
28,"""公主近卫团""","""叮咚丶""",377.04w,345.64w,388.61w,354.03w
29,"""万年传承幻想乡""","""蓝天""",374.34w,346.52w,368.51w,362.9w
30,"""圣威院""","""是辉夜哦~ p挖""",377.61w,334.64w,382.63w,349.86w
31,"""西红柿炒鸡蛋""","""非伤""",378.35w,339.9w,373.93w,352.21w
32,"""洗浴中心""","""朔月^ 乄""",377.42w,338.62w,376.29w,350.1w
33,"""彼岸花曼珠沙华""","""红茶我的最爱丶i""",370.14w,335.16w,372.88w,355.9w
34,"""圣衡骑士团""","""PAL.星菓i""",362.95w,340.95w,376.18w,341.56w
35,"""加把劲骑士团""","""掩饰乄""",369.19w,339.73w,363.32w,356.65w
36,"""瑶光""","""芥荨""",370.05w,336.32w,368.48w,352.12w
37,"""蜗仙苑""","""仔仔""",346.6w,332.21w,382.77w,342.95w
38,"""炼铜术士聚集地""","""奥修 t""",373.24w,317.65w,375.95w,346.32w
39,"""莫得感情的行会""","""天使w魔鬼乄（团）""",361.52w,333.17w,364.15w,352.12w
40,"""流光雾中萤""","""见切FHi t""",354.91w,330.77w,373.68w,344.17w
41,"""简简单单最真""","""青山七海""",367.83w,331.51w,359.64w,350.26w
42,"""星城""","""焊接者""",358.48w,331.41w,365.59w,349.73w
43,"""灰与幻想的格林姆迦尔""","""春酒*""",355.08w,326.91w,369.52w,349.73w
44,"""会长急救中心""","""三三""",365.7w,330.25w,357.9w,345.82w
45,"""绫绫""","""田心田乄""",356.42w,323.37w,350.41w,347.89w
