rank,clan_name,leader_name,damage_day1,damage_day2,damage_day3,damage_day4,damage_day5
1,"""同萌纯爱战士协会up""","""蓝蓝蓝（吃井玩家）""",475400000,522995201,599515949,613288850,615381002
2,"""柠檬殿堂还能继续掉！""","""绾绾管住手""",453800000,508938280,593560970,616892496,613018878
3,"""未闻掉刀摆烂坎公招人""","""最帅最欧""",457702475,510779270,594488235,605982238,609304588
4,"""莱的父亲们""","""雪莱""",460697438,506408602,600093960,596408312,606597638
5,"""休闲养老没烦恼""","""快看彩虹""",458533697,512628105,584723113,603710732,607678250
6,"""睡饱饱的观星所""","""苏月曦^""",460926408,506769204,586989363,601645640,606628673
7,"""双子摘星""","""安""",448392702,502393265,575548728,607327072,608729866
8,"""希望之花""","""麦克吉利斯""",454567395,496787812,592258493,593386375,601722183
9,"""咸鱼湾""","""川澄舞""",453918463,504595944,579436508,591833325,600367525
10,"""莱茵骑士团（赌你的头""","""红茶（狗头赌没了）""",442366000,498104842,591411925,591737853,600191932
11,"""27爷带一痕five""","""无痕1号""",449076695,511393480,576829645,585764932,599311262
12,"""装兔子的冰箱""","""两仪""",451920303,510027719,568383838,585239302,590377373
13,"""28.1个人的月下莲""","""白上吹雪""",427044036,495568826,584103014,593299829,582871927
14,"""宫商角徵羽""","""绫濑夕映""",434616424,488230280,560913091,591579689,583346453
15,"""泡泡茶壶""","""幸运小剑F""",429879488,487272914,562288809,586634107,589211210
16,"""早下班，早睡觉""","""流炫（招人看简介）""",438360019,478256581,556864394,567481949,582506417
17,"""灬欧洲兔兔连萌灬""","""兔兔灬狐狸贴贴""",440621373,461556025,566824533,577298756,573620462
18,"""心理疾病医院""","""Monokuma""",424898351,476478289,567664483,562177628,584927921
19,"""观潮阁摆烂保150""","""贤狼赫萝""",427930790,457112600,552396654,576278975,588622880
20,"""魔灵学院""","""小百灵FH i""",419023583,477471779,557612490,567451451,577743932
21,"""QAQ品红色的照相馆""","""decade""",420528028,467444794,551494481,570513158,583735313
22,"""咕噜灵波~转一圈？""","""这是六个数字四个字母""",414530370,472440288,533520412,532202630,541009106
23,"""QAQ司寄协会""","""芈夜""",409416302,442656103,536687532,537139365,536992989
24,"""柚子厨交流协会""","""诺诺""",398569624,451148007,528499104,545033181,534928145
25,"""君悦君兮君不知 摆烂""","""摸鱼王 某月""",397766160,464794516,526668359,527168237,536346289
26,"""星月晓颜""","""光月紫""",394739296,459523736,514936968,522919165,533795720
27,"""QAQ萌国联邦""","""~利姆露~i""",394855212,436616302,503971480,529668929,526013412
28,"""圣衡骑士团""","""PAL.星菓""",403301698,457232647,499467673,526165486,504509171
29,"""爱酱保护协会""","""珈百璃""",403714134,456693029,493105365,518463488,517951629
30,"""梦与魔法的乐园""","""梦天真""",402643338,461247460,495816742,514807745,511316202
31,"""万年传承幻想乡""","""蓝天""",393314938,442446094,510843982,513341014,523106932
32,"""洗浴中心""","""朔月（被梯很抱歉）""",387412352,438530782,502575029,518144697,525582875
33,"""圣威院""","""星回尘河""",398776442,431217924,494912865,502158409,527537738
34,"""彼岸花曼珠沙华""","""红茶我的最爱丶""",388035374,447287345,469010563,523771843,518480805
35,"""西红柿炒鸡蛋""","""非伤""",391481312,445129055,488263417,510902163,505545659
36,"""会长急救中心""","""三三""",397527674,444826950,478403373,506177338,503992423
37,"""灰与幻想的格林姆迦尔""","""春酒""",380411130,445877346,496050182,508183547,495796251
38,"""炼铜术士聚集地""","""奥修""",383916512,443629369,487318655,503493151,499870372
39,"""公主近卫团""","""叮咚丶""",368998754,440538500,485641954,491277396,522235091
40,"""QAQ摆烂鱼塘""","""月藜""",384990642,436660075,483980815,476300908,506535292
41,"""星城""","""焊接者""",376606608,438167071,472775599,491328718,503287511
42,"""流光雾中萤""","""见切 FHi""",398502020,422749752,465506706,492725950,502486502
43,"""加把劲骑士团""","""掩饰""",390369874,427077914,469033229,478457148,506227352
44,"""大枫树""","""夏天i""",361087722,422566288,478005890,482970473,507630359
45,"""莫得感情的行会""","""天使w魔鬼乄""",382074434,424272218,474853348,475942170,484789747
46,"""绫绫""","""田心田""",367667865,429490445,470788910,481312327,480134693
47,"""会长在树上""","""月白""",383588564,417957998,464989455,481647079,479970141
48,"""简简单单最真""","""青山七海""",365197644,423784560,464435393,483061854,466408397
49,"""瑶光""","""雷欧利""",371387120,419231412,451952273,483049960,473245116
50,"""獨行天下""","""腹黑的兔子""",362007109,413795933,444240240,501147896,466011534
51,"""红魔馆""","""驱纹戒斗""",346860424,419319017,436133527,483582562,468612858
52,"""风居住的街道""","""梦~三千""",360369460,405979743,450287089,468413645,461707330
53,"""Freesia""","""梨衣""",335315267,399998322,443642674,467562159,474098140
54,"""凯露酱的小鱼塘""","""ssc""",363061333,396572567,420032550,470484526,469767841
55,"""真步公主护卫会""","""婷婷抱抱春妈""",358980681,392477925,424648596,440659638,473005492
56,"""放学后茶会""","""諾蓓兒""",350960506,408423608,427956222,450268722,449932864
57,"""莱茵海盗团""","""风中吃西瓜""",345028329,402959243,420228964,453422724,446095176
58,"""某正义的巴别塔""","""欧皇""",349835196,390553205,418189549,472074026,436226662
59,"""灬欧洲兔兔集结灬""","""兔兔灬亦九""",350212341,400335904,421555634,445030416,446550033
60,"""学园都市""","""王尼矛""",348593580,378229613,431698024,458109006,444344193
61,"""Re:0""","""dio""",346125240,389638784,411601558,458812782,453902980
62,"""华莱士的虾""","""陌路""",353194716,395783195,442931464,432146784,435587311
63,"""喵喵连结（猫猫二会）""","""kami（jjc已挖""",353548546,399386454,422303759,448591272,435613787
