1,柠檬殿堂招大爹,柠檬硬糖保3会招人F,34,29,33,48
2,明晚六点下班协会,矢泽妮可(同萌协会),34,51,124,60
3,小魔仙掉刀行会,^三白白白^,81,74,128,84
4,月下莲,玄文^,122,53,126,134
5,咸鱼湾,川澄舞,128,217,102,281
6,双子天天掉刀会,春剑鲨鲨鲨,177,216,221,193
7,QAQ编编故事早下班,最帅最欧,218,209,216,209
8,装兔子的冰箱,两仪,339,277,210,245
9,魔灵学院,小百灵FH i,205,338,281,236
10,希望之花,艾利乌德,278,292,237,247
11,休闲养老没烦恼,快看彩虹,292,249,299,193
12,莱茵骑士团,红茶（莱茵最大内鬼）,218,248,265,396
13,无痕又掉刀了！痛哭！,无痕2号,252,207,384,363
14,泡泡茶壶,幸运小剑F,278,375,377,313
15,兰德索尔动物园,龟龟睡大觉,340,331,423,276
16,拉比 直接开摆！,千千酱,331,400,314,719
17,猫猫连结,流炫（招人看简介）,353,460,529,409
18,心理疾病医院,Monokuma,330,531,506,471
19,灬欧洲兔兔连萌灬,兔兔灬狐狸贴贴,242,639,433,576
20,照相馆陪大家一起掉刀,decade,369,462,547,724
21,咕噜灵波~转一圈？,这是六个数字四个字母,507,520,582,652
22,观潮阁金牛座备战收人,观潮阁-贤狼赫萝,598,544,632,515
23,宫商角徵羽,绫濑夕映,455,741,518,826
24,梦与魔法的乐园,梦天真,569,718,752,593
25,迦勒底的异世界观星所,苏月曦^,440,546,835,886
26,万年传承幻想乡,蓝天,710,717,682,803
27,圣衡骑士团,PAL.星菓,721,654,752,855
28,炼铜术士聚集地,奥修,644,751,795,852
29,QAQ萌国联邦,~利姆露~i,823,654,915,730
30,洗浴中心,朔月,950,768,890,587
31,君悦君兮君不知,筱説,868,891,809,770
32,圣威院,星回尘河,689,767,849,938
33,千恋丶万花灬丛云赛高,呓语,883,1002,823,763
34,QAQ掉刀老司姬,芈夜,949,915,721,1020
35,加把劲骑士团,掩饰,911,1047,844,1008
36,星月晓颜,光月紫,775,929,1036,1028
37,会长急救中心,三三,902,930,967,1040
38,西红柿炒鸡蛋,非伤,1011,921,945,1007
39,莫得感情的行会,天使w魔鬼乄,925,1215,873,1047
40,小心圣锤暴击,月白,755,955,1207,1043
41,流光雾中萤,见切 FHi,847,1211,1134,1007
42,珈百璃的后宫团,珈百璃,847,1021,1206,1125
43,瑶光,芥荨,1155,1101,917,1139
44,大枫树,夏嘻嘻,1050,995,1109,1245
45,简简单单最真,青山七海,1164,1093,1134,1379
46,灰与幻想的格林姆迦尔,春酒,893,1019,1341,1500
47,星城,焊接者,1175,1333,1118,1500
48,真步公主护卫会,柚柚子,1146,1367,1416,1325
49,红魔馆,驱纹戒斗,1390,1131,1500,1374
50,QAQ拉胯鱼塘,月藜,1392,1328,1433,1500
51,风域,男妈i,1449,1406,1500,1467
52,公主近卫团,叮咚丶,1337,1500,1500,1500
53,绫绫,田心田,1500,1337,1500,1500
54,龙宝等混吃混喝回家,迷路镇的库露宓,1500,1305,1500,1500
55,放学后茶会,諾蓓兒,1500,1463,1500,1500
57,初音MIKU小幸运,Zlonix,1432,1472,1500,1500
